location_set_version_id,location_set_id,location_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action,lancet_label,numInCount
361,1,87,73,"1,64,73,87",3,1,1,34.0,Luxembourg,Luxembourg,Luxembourg,2,admin0,LUX,64.0,High-income,73.0,Western Europe,LUX,LUX,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Luxembourg,0
361,1,88,73,"1,64,73,88",3,1,1,35.0,Malta,Malta,Malta,2,admin0,MLT,64.0,High-income,73.0,Western Europe,MLT,MLT,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Malta,0
361,1,89,73,"1,64,73,89",3,1,1,36.0,Netherlands,Netherlands,Netherlands,2,admin0,NLD,64.0,High-income,73.0,Western Europe,NLD,NLD,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Netherlands,1
361,1,90,73,"1,64,73,90",3,1,1,37.0,Norway,Norway,Norway,2,admin0,NOR,64.0,High-income,73.0,Western Europe,NOR,NOR,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Norway,0
361,1,91,73,"1,64,73,91",3,1,1,38.0,Portugal,Portugal,Portugal,2,admin0,PRT,64.0,High-income,73.0,Western Europe,PRT,PRT,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Portugal,0
361,1,92,73,"1,64,73,92",3,1,1,39.0,Spain,Spain,Spain,2,admin0,ESP,64.0,High-income,73.0,Western Europe,ESP,ESP,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Spain,0
361,1,93,73,"1,64,73,93",3,0,0,40.0,Sweden,Sweden,Sweden,2,admin0,SWE,64.0,High-income,73.0,Western Europe,SWE,SWE,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Sweden,0
361,1,94,73,"1,64,73,94",3,1,1,41.0,Switzerland,Switzerland,Switzerland,2,admin0,CHE,64.0,High-income,73.0,Western Europe,CHE,CHE,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Switzerland,1
361,1,95,73,"1,64,73,95",3,0,0,42.0,United Kingdom,United Kingdom,UK,2,admin0,GBR,64.0,High-income,73.0,Western Europe,GBR,GBR,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,United Kingdom,2
361,1,97,96,"1,64,96,97",3,1,1,48.0,Argentina,Argentina,Argentina,2,admin0,ARG,64.0,High-income,96.0,Southern Latin America,ARG,ARG,0,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Argentina,0
361,1,98,96,"1,64,96,98",3,1,1,49.0,Chile,Chile,Chile,2,admin0,CHL,64.0,High-income,96.0,Southern Latin America,CHL,CHL,0,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Chile,0
361,1,99,96,"1,64,96,99",3,1,1,50.0,Uruguay,Uruguay,Uruguay,2,admin0,URY,64.0,High-income,96.0,Southern Latin America,URY,URY,0,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Uruguay,0
361,1,57,56,"1,31,56,57",3,1,1,53.0,Belarus,Belarus,Belarus,2,admin0,BLR,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,BLR,BLR,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Belarus,0
361,1,58,56,"1,31,56,58",3,1,1,54.0,Estonia,Estonia,Estonia,2,admin0,EST,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,EST,EST,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Estonia,0
361,1,59,56,"1,31,56,59",3,1,1,55.0,Latvia,Latvia,Latvia,2,admin0,LVA,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,LVA,LVA,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Latvia,0
361,1,60,56,"1,31,56,60",3,1,1,56.0,Lithuania,Lithuania,Lithuania,2,admin0,LTU,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,LTU,LTU,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Lithuania,0
361,1,61,56,"1,31,56,61",3,1,1,57.0,Moldova,Moldova,Moldova,2,admin0,MDA,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,MDA,MDA,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Moldova,0
361,1,62,56,"1,31,56,62",3,1,1,58.0,Russian Federation,Russian Federation,Russian Federation,2,admin0,RUS,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,RUS,RUS,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Russia,0
361,1,63,56,"1,31,56,63",3,1,1,59.0,Ukraine,Ukraine,Ukraine,2,admin0,UKR,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,UKR,UKR,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Ukraine,0
361,1,43,42,"1,31,42,43",3,1,1,61.0,Albania,Albania,Albania,2,admin0,ALB,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,ALB,ALB,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Albania,0
361,1,44,42,"1,31,42,44",3,1,1,62.0,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia,2,admin0,BIH,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,BIH,BIH,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Bosnia and Herzegovina,0
361,1,45,42,"1,31,42,45",3,1,1,63.0,Bulgaria,Bulgaria,Bulgaria,2,admin0,BGR,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,BGR,BGR,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Bulgaria,0
361,1,46,42,"1,31,42,46",3,1,1,64.0,Croatia,Croatia,Croatia,2,admin0,HRV,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,HRV,HRV,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Croatia,0
361,1,47,42,"1,31,42,47",3,1,1,65.0,Czech Republic,Czech Republic,Czech,2,admin0,CZE,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,CZE,CZE,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Czech Republic,0
361,1,48,42,"1,31,42,48",3,1,1,66.0,Hungary,Hungary,Hungary,2,admin0,HUN,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,HUN,HUN,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Hungary,0
361,1,49,42,"1,31,42,49",3,1,1,67.0,Macedonia,Macedonia,Macedonia,2,admin0,MKD,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,MKD,MKD,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Macedonia,0
361,1,50,42,"1,31,42,50",3,1,1,68.0,Montenegro,Montenegro,Montenegro,2,admin0,MNE,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,MNE,MNE,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Montenegro,0
361,1,51,42,"1,31,42,51",3,1,1,69.0,Poland,Poland,Poland,2,admin0,POL,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,POL,POL,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Poland,0
361,1,52,42,"1,31,42,52",3,1,1,70.0,Romania,Romania,Romania,2,admin0,ROU,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,ROU,ROU,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Romania,0
361,1,53,42,"1,31,42,53",3,1,1,71.0,Serbia,Serbia,Serbia,2,admin0,SRB,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,SRB,SRB,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Serbia,0
361,1,54,42,"1,31,42,54",3,1,1,72.0,Slovakia,Slovakia,Slovakia,2,admin0,SVK,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,SVK,SVK,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Slovakia,0
361,1,55,42,"1,31,42,55",3,1,1,73.0,Slovenia,Slovenia,Slovenia,2,admin0,SVN,31.0,"Central Europe, Eastern Europe, and Central Asia",42.0,Central Europe,SVN,SVN,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Slovenia,0
361,1,33,32,"1,31,32,33",3,1,1,75.0,Armenia,Armenia,Armenia,2,admin0,ARM,31.0,"Central Europe, Eastern Europe, and Central Asia",32.0,Central Asia,ARM,ARM,0,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Armenia,0
